Offset(P)            #Ptr   #Hnd Access Name
0x000000013ccc88d0     15      0 R--r-d \Device\HarddiskVolume1\Users\KAB\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\YQ0MYF3J\25[1].png
0x000000013ccc8b20     15      0 R--r-d \Device\HarddiskVolume1\Users\KAB\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\MWD2QEXM\1[1].png
0x000000013ccc8dd0     14      0 R--r-- \Device\HarddiskVolume1\Windows\Prefetch\MSIEXEC.EXE-F3744DFD.pf
0x000000013ccc8f20     11      0 R--r-d \Device\HarddiskVolume1\Users\KAB\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\83XLDW4P\9[1].svg
0x000000013cccf620     12      0 R--r-d \Device\HarddiskVolume1\Windows\System32\vmhgfs.dll
0x000000013cccf770     13      0 R--r-d \Device\HarddiskVolume1\Windows\SysWOW64\msacm32.drv
0x000000013ccd17a0      8      0 R--rwd \Device\HarddiskVolume1\Windows\SysWOW64\StructuredQuery.dll
0x000000013ccd1d10     16      0 R--rwd \Device\HarddiskVolume1\Users\KAB\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\68T73U1O\likeit[1].css
0x000000013ccd9f20     16      0 R--rwd \Device\HarddiskVolume1\Windows\System32\ko-KR\cscui.dll.mui
0x000000013cce1f20     15      0 R--r-d \Device\HarddiskVolume1\Users\KAB\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\83XLDW4P\10[1].png
0x000000013cecf070     15      0 R--rwd \Device\HarddiskVolume1\Users\KAB\AppData\LocalLow\Microsoft\Internet Explorer\Services\search_{0633EE93-D776-472f-A0FF-E1416B8B2E3A}.ico
0x000000013cecf9d0     17      1 R--r-d \Device\HarddiskVolume1\Windows\SysWOW64\stdole2.tlb
0x000000013ced33b0      1      1 R--rw- \Device\HarddiskVolume1\Windows\winsxs\x86_microsoft.vc90.crt_1fc8b3b9a1e18e3b_9.0.30729.4940_none_50916076bcb9a742
0x000000013ced3850      1      1 RW-rwd \Device\HarddiskVolume1\Users\KAB\AppData\Local\Microsoft\Windows\Explorer\thumbcache_1024.db
0x000000013ced3e90      9      0 R--rwd \Device\HarddiskVolume1\Windows\System32\WUDFx.dll
0x000000013ced5f20      2      1 R--rwd \Device\HarddiskVolume2\2
0x000000013ced7f20      1      1 R--rw- \Device\HarddiskVolume1\Windows\winsxs\amd64_microsoft.windows.common-controls_6595b64144ccf1df_5.82.7601.17514_none_a4d6a923711520a9
0x000000013ced9070     11      0 R--r-d \Device\HarddiskVolume1\Windows\System32\EhStorAPI.dll
0x000000013ceda070      8      0 R--r-d \Device\HarddiskVolume1\Windows\SysWOW64\WSHTCPIP.DLL
0x000000013cedf070      1      1 R--r-d \Device\HarddiskVolume1\Windows\System32\ko-KR\wship6.dll.mui
0x000000013cedfdd0     13      1 R--r-d \Device\HarddiskVolume1\Windows\SysWOW64\ko-KR\KernelBase.dll.mui
0x000000013cedff20     17      1 R--r-d \Device\HarddiskVolume1\Windows\System32\ko-KR\oleaccrc.dll.mui
0x000000013cee0f20      2      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000013cee29d0     11      0 R--r-d \Device\HarddiskVolume1\Windows\System32\ieapfltr.dll
0x000000013cee5070      1      1 R--rw- \Device\HarddiskVolume1\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_41e6975e2bd6f2b2
0x000000013cee53d0      1      1 RW---- \Device\HarddiskVolume1\System Volume Information\Syscache.hve.LOG1
0x000000013cee5a60      3      1 RWDrwd \Device\HarddiskVolume1\Users\KAB\AppData\Local\Temp\~DF91FD6670D25D81B1.TMP
0x000000013cee8680      5      0 R--r-d \Device\HarddiskVolume1\Windows\System32\Macromed\Flash\Flash64_19_0_0_185.ocx
0x000000013cef75d0     17      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000013cef7720     16      1 R--r-d \Device\HarddiskVolume1\Windows\SysWOW64\ko-KR\mshtml.dll.mui
0x000000013cef7a90      5      0 R--r-d \Device\HarddiskVolume1\Windows\System32\mlang.dll
0x000000013cef8320      2      1 R--rwd \Device\HarddiskVolume1\Users\KAB\Favorites
0x000000013cef8580     15      1 R--r-d \Device\HarddiskVolume1\Windows\SysWOW64\en-US\ieframe.dll.mui
0x000000013cef86d0      2      1 R--rwd \Device\HarddiskVolume1\Users\KAB\Favorites
0x000000013cef8820      4      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000013cef8dd0     15      0 R--rwd \Device\HarddiskVolume1\Users\KAB\Favorites\desktop.ini
0x000000013cef9500      8      0 R--r-d \Device\HarddiskVolume1\Windows\SysWOW64\DWrite.dll
0x000000013cef9650     10      0 R--r-d \Device\HarddiskVolume1\Windows\SysWOW64\samlib.dll
0x000000013cefbc90      1      1 R--r-d \Device\HarddiskVolume1\Windows\System32\ko-KR\setupapi.dll.mui
0x000000013cf091b0     12      0 R--r-d \Device\HarddiskVolume1\Windows\SysWOW64\WindowsCodecs.dll
0x000000013cf09740     15      0 RW-rw- \Device\HarddiskVolume1\Users\KAB\AppData\Local\Microsoft\Internet Explorer\MSIMGSIZ.DAT
0x000000013cf09f20     13      0 R--rwd \Device\HarddiskVolume1\Windows\SysWOW64\odbc32.dll
0x000000013cf0b070      7      0 R--r-d \Device\HarddiskVolume1\Program Files (x86)\Common Files\microsoft shared\IME14\SHARED\IMJKAPI.DLL
0x000000013cf0b350      1      1 R--rw- \Device\HarddiskVolume1\Windows\winsxs\x86_microsoft.vc90.crt_1fc8b3b9a1e18e3b_9.0.30729.4940_none_50916076bcb9a742
0x000000013cf0baf0     29      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000013cf0e070      1      1 R--rw- \Device\HarddiskVolume1\Windows\winsxs\x86_microsoft.vc90.crt_1fc8b3b9a1e18e3b_9.0.30729.4940_none_50916076bcb9a742
0x000000013cf0e2f0      7      0 R--r-d \Device\HarddiskVolume1\PROGRA~2\COMMON~1\MICROS~1\IME14\IMEKR\IMKRAPI.DLL
0x000000013cf10070      2      1 ------ \Device\Afd\Endpoint
0x000000013cf103c0     15      0 R--rwd \Device\HarddiskVolume1\Users\KAB\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\desktop.ini
0x000000013cf11b50     16      0 RWD--- \Device\HarddiskVolume1\Users\KAB\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\L0Z3CKRQ\참고지침.hwp.vnu7uzf.partial
0x000000013cf12300     15      0 R--rw- \Device\HarddiskVolume1\Users\KAB\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\MWD2QEXM\a0453eac.vendor[1].js
0x000000013cf12ae0     12      0 RW---- \Device\HarddiskVolume1\Windows\SoftwareDistribution\DataStore\DataStore.edb
0x000000013cf12f20      4      0 R--r-d \Device\HarddiskVolume1\Windows\SysWOW64\dxgi.dll
0x000000013cf13b40     12      0 R--r-d \Device\HarddiskVolume1\Windows\SysWOW64\msimtf.dll
0x000000013cf166c0     12      0 R--r-d \Device\HarddiskVolume1\Windows\System32\WindowsPowerShell\v1.0\pwrshsip.dll
0x000000013cf1c370      1      1 R--rw- \Device\HarddiskVolume1\Users\KAB\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\OXN5OKO7\app[1].htm
0x000000013cf1e7e0     15      0 R--rwd \Device\HarddiskVolume1\Users\KAB\AppData\Local\Microsoft\Windows\History\desktop.ini
0x000000013cf1edd0      1      1 R--r-d \Device\HarddiskVolume1\Windows\System32\korwbrkr.lex
0x000000013cf1ef20      1      1 ------ \Device\Afd\Endpoint
0x000000013cf21f20     11      0 R--r-d \Device\HarddiskVolume1\Windows\SysWOW64\jscript9.dll
0x000000013cf37c50     17      1 R--r-d \Device\HarddiskVolume1\Windows\SysWOW64\ko-KR\propsys.dll.mui
0x000000013cf38070     17      1 R--r-d \Device\HarddiskVolume1\Windows\SysWOW64\ko-KR\jscript9.dll.mui
0x000000013cf38870     18      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000013cf38f20      1      1 R--r-d \Device\HarddiskVolume1\Windows\System32\ko-KR\shell32.dll.mui
0x000000013cf398c0     15      0 R--r-d \Device\HarddiskVolume1\Users\KAB\AppData\Roaming\Microsoft\Windows\Cookies\CZMPPBTR.txt
0x000000013cf3bc90     15      0 R--r-d \Device\HarddiskVolume1\Users\KAB\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\YQ0MYF3J\12[1].png
0x000000013cf3bf20     15      0 R--r-d \Device\HarddiskVolume1\Users\KAB\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\MWD2QEXM\13[1].png
0x000000013cf3cb30     18      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000013cf3e070      1      1 ------ \Device\NamedPipe\lsass
0x000000013cf3e1c0      3      1 R--rwd \Device\HarddiskVolume1\Users\KAB\AppData\Roaming\Microsoft\SystemCertificates\My
0x000000013cf46370      9      0 R--r-d \Device\HarddiskVolume1\Windows\SysWOW64\d2d1.dll
0x000000013cf46670      8      0 R--r-d \Device\HarddiskVolume1\Windows\SysWOW64\xmllite.dll
0x000000013cf46c80      5      0 R--r-d \Device\HarddiskVolume1\Windows\SysWOW64\Macromed\Flash\Flash32_19_0_0_185.ocx
0x000000013cf48d10     16      0 R--r-- \Device\HarddiskVolume1\Windows\System32\rundll32.exe
0x000000013cf4abb0      6      0 R--r-d \Device\HarddiskVolume1\Windows\SysWOW64\d3d10warp.dll
0x000000013cf4af20      9      0 R--r-d \Device\HarddiskVolume1\Windows\SysWOW64\d3d11.dll
